計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2023/11/28,KYASH,-5000,Smbc,税・社会保障,hl_bussi,"",0,md48DqY82lyXlieT9KupYzrqEVY_nXbQDcXYdxa1Hrw
1,2023/11/28,【第2類医薬品】アイリス フォン ブレイク 12mL (820円 * 2点) 販売: アマゾンジャパン合同会社,-1640,Amazon.co.jp,日用品,hl_shop,,0,k478pH6AiEqygZC0pUL3ZWtHsC-zsbxvuQEY2cRlsCg
1,2023/11/28,入 戸塚 出 日暮里,-824,suica chong,住宅,hl_living,,0,M69ChvqL8aejxZYUtb8mP9HUVTHPO7oYLheV8lKatLE
1,2023/11/28,入 日暮里 出 戸塚,-824,suica chong,住宅,hl_living,,0,wFRZBkA8tyAzDYPnCKBueS4umIQG27_okr_35AInJqQ
1,2023/11/28,物販,-718,モバイルSuica (モバイルSuica ID),食費,hl_foods,,0,yia_kk8uBZzaQKJdFRxFelDe9vL92i9NXukpqExRItk
1,2023/11/28,バス等 都電都B,-210,モバイルSuica (モバイルSuica ID),住宅,hl_living,,0,ZPivYH9wBvahcvNsyUX0Yi3zOeTrr1UY5iKL1KxBDY8
1,2023/11/28,バス等 都電都B,-210,モバイルSuica (モバイルSuica ID),住宅,hl_living,,0,Ql9dl1iR5tUbiDdXI0tkCEfJgu0DU5E0Op_deyj5r98
0,2023/11/27,AMAZON.CO.JP,-14980,三井住友カード,食費,その他食費,,1,WIF99rQrywao-C-NhCI8rg
0,2023/11/27,AMAZON.CO.JP,-6388,三井住友カード,食費,その他食費,,1,5JStD7QRacOv6Z7nPXBChg
1,2023/11/27,ペイペイ*セブンイレブン,-250,エポスカード,食費,hl_foods,,0,bX3VsaLcwHMS49eJ8SssZw
0,2023/11/27,AP/モバイルスイカ(アツプルヴイ),-3000,エポスカード,現金・カード,電子マネー,,1,GdiDv9le12oecabctX9KhQ
0,2023/11/27,モバイルSuica(Apple),-3000,三井住友カード,住宅,その他住宅,,1,oLDMJXfjr6baz4vKyHnfZA
1,2023/11/27,口座振替4 SMBC(GTNモバイ,-1810,三菱UFJ銀行,住宅,hl_living,,0,u77HQkxbogqGAtavKWphz908b6_3svW8Yw-YySfpy_E
1,2023/11/27,口座振替4 SMFS(クオ-ク,-8782,三菱UFJ銀行,教養・教育,hl_selfde,,0,tB3o5ruCrAvdlgMPnHjNRnME1tOOAWIkn4IqNQeIF2k
0,2023/11/27,口座振替3 ミツイスミトモカ-ド,-411273,三菱UFJ銀行,現金・カード,カード引き落とし,,1,hNdHV-aks6apBPQTqos-oftiB9BdXzWADMYOoKrdKps
0,2023/11/27,口座振替4 エポスカ-ド,-630940,三菱UFJ銀行,住宅,家賃・地代,,1,zmrhxRHNHvUN3oM6iD-NtHR_oG1Q2wbuPPRLsd0j9F4
1,2023/11/27,ローラ メルシエ laura mercier マット ラディアンス ベイクドパウダー 【ハイライト01】 7.5g [並行輸入品] 販売: ミトレル,-6388,Amazon.co.jp,衣服・美容,hl_beahea,"",0,R41A97BEJ1fkQIE7MLkf2_qk14AOOXN2dYR7ln0jaTI
1,2023/11/27,SwitchBot スマートロック 指紋認証パッド セット Alexa スマートホーム スイッチボット オートロック 暗証番号 玄関 Google Home Siri LINE Clovaに対応 遠隔対応 工事不要 取付カンタン 防犯対策 販売: アマゾンジャパン合同会社,-14980,Amazon.co.jp,日用品,hl_shop,,0,E0zytnJtFGRHf-2hgVuwHXU4OpOo9v7VNdZP7dO0nOU
1,2023/11/27,【2023冬新モデル & 知能恒湿・9L大容量】加湿器 ハイブリッド 加熱式加湿器 タワー型 事務所/家庭用加湿器 自動湿度調整 4重除菌浄化 高濃度マイナスイオン睡眠モード 空気清浄機能 100°C高温除菌 次亜塩素酸水対応 液晶パネル 6段階加湿量調節可 静音稼働 銀イオン抗菌素材 水浄化 省エネ 遠隔制御 リモコン付き 空焚き防止 乾燥対策/花粉症対策 業務用加湿器 日本語取扱説明書付き 販売: E-calm JP販売代理店,-10350,Amazon.co.jp,日用品,hl_shop,,0,Inc0d6VOq9ur8MT2i2m6yD-2xU0Lv0xgV1jex8QYIQM
1,2023/11/27,物販,-1368,suica chong,食費,hl_foods,,0,TDh9-zJf0pTotWIUL9a-_C_pmt8RYScMOsLPUvxLa6I
0,2023/11/27,カード モバイル,3000,suica chong,未分類,未分類,,1,io7bQPDnDaMyHOaAlQ9pTzCGxGpLkCmXAdKFpvUHKbc
1,2023/11/27,物販,-1650,モバイルSuica (モバイルSuica ID),食費,hl_foods,,0,kU_Pu4Pxxrof1DtxHr1OzMCXNdZZQRlJK04IbTZWA-Y
0,2023/11/27,カード モバイル,3000,モバイルSuica (モバイルSuica ID),未分類,未分類,,1,JKsHhQfFZqhS8nGnJv0PItEzaGKHi2E0oZ3JZOwk6i4
0,2023/11/26,モバイルSuica(Apple),-1000,三井住友カード,住宅,その他住宅,,1,miduKZ32IdvVezeNUEfWOw
0,2023/11/26,AMAZON.CO.JP,-8041,三井住友カード,食費,その他食費,,1,6kVI1H26pQDqQSq2N8KAxg
0,2023/11/26,AMAZON.CO.JP,-2760,三井住友カード,食費,その他食費,,1,JBwOjycNbZAcXCA7dycttQ
0,2023/11/26,AMAZON.CO.JP,-1831,三井住友カード,食費,その他食費,,1,jHgXB8UPM7dIyb3u5IeInA
0,2023/11/26,AMAZON.CO.JP,-1269,三井住友カード,食費,その他食費,,1,eI7ZTdirLVJrvYoEP1Aqig
0,2023/11/26,AMAZON.CO.JP,-7180,三井住友カード,食費,その他食費,,1,bpR4XPiT-TJB5Z6L9KqBAw
0,2023/11/26,AMAZON.CO.JP,-1173,三井住友カード,食費,その他食費,,1,savUoEn0ja79TGnV5pSU2Q
0,2023/11/26,AMAZON.CO.JP,-1142,三井住友カード,食費,その他食費,,1,_i0qd_XjZVROkTw-QSUovw
0,2023/11/26,AMAZON.CO.JP,-3168,三井住友カード,食費,その他食費,,1,o_CX96BJu-Q9A_dKOBOxTg
0,2023/11/26,AMAZON.CO.JP,-1176,三井住友カード,食費,その他食費,,1,nkXZKg1Umero2DBSPeBzjw
0,2023/11/26,AMAZON.CO.JP,-22960,三井住友カード,食費,その他食費,,1,P4GuVMraTchVnRMsRucmoA
0,2023/11/26,AMAZON.CO.JP,-1279,三井住友カード,食費,その他食費,,1,SOV2tLoikVjww3_77b9sZQ
0,2023/11/26,AMAZON.CO.JP,-2599,三井住友カード,食費,その他食費,,1,nQikvHgeLqmeziCbsFaaUA
0,2023/11/26,AMAZON.CO.JP,-799,三井住友カード,食費,その他食費,,1,d6p_FPVFf8X1JbMeGNiShw
0,2023/11/26,AMAZON.CO.JP,-2235,三井住友カード,食費,その他食費,,1,4_jVToUFdxoqmZS_74dKIw
0,2023/11/26,AMAZON.CO.JP,-2800,三井住友カード,食費,その他食費,,1,3bIIm7lMqJ4Eb583qBEySw
0,2023/11/26,AMAZON.CO.JP,-1386,三井住友カード,食費,その他食費,,1,F78xacnLE1q11p0ahdn1Bw
0,2023/11/26,AMAZON.CO.JP,-1584,三井住友カード,食費,その他食費,,1,tdACqmy3FJ_jqf44tdzH_g
1,2023/11/26,ペイペイ*コクエイショウワキネンコウエン,-900,エポスカード,日用品,hl_shop,,0,R_vHvUUAFCrUHv3Wo4QPjQ
1,2023/11/26,ペイペイ*ガスト,-5975,エポスカード,食費,hl_foods,,0,mvdNBVCTLuFijMREUugG2g
1,2023/11/26,"Elecom Computer Case, 13.3 Inch (for Macbook Pro 13) 販売: アマゾンジャパン合同会社",-1173,Amazon.co.jp,日用品,hl_shop,,0,99bPJE3Oev3xmTzAPZJmsSJO6vn6ettSVJjYt6gxfcE
